,moon_x,moon_y
409,-361444.48837547423,136972.63232332846
410,-361532.1640219449,136775.76563291045
411,-361619.70610357943,136578.84790899043
412,-361707.11457768315,136381.87921914065
413,-361794.3894014959,136184.85963094994
414,-361881.53053243936,135987.7892120569
415,-361968.53792780277,135790.66803010032
416,-362055.4115450414,135593.4961528185
417,-362142.15134157747,135396.27364786674
418,-362228.7572748995,135199.00058304987
419,-362315.22930247936,135001.67702607307
420,-362401.56738187216,134804.30304480757
421,-362487.7714706829,134606.87870702503
422,-362573.8415264832,134409.40408058013
423,-362659.77750692796,134211.87923336079
424,-362745.57936973823,134014.3042333047
425,-362831.2470725857,133816.6791482832
426,-362916.780573258,133619.00404635037
427,-363002.1798294764,133421.27899542736
428,-363087.4447991119,133223.50406353502
429,-363172.57544001867,133025.6793187606
430,-363257.5717100676,132827.80482912497
431,-363342.4335672127,132629.8806627487
432,-363427.1609693416,132431.90688776888
433,-363511.7538745578,132233.88357237255
434,-363596.21224076534,132035.81078464698
435,-363680.5360261178,131837.68859286228
436,-363764.72518868546,131639.5170653051
437,-363848.77968660527,131441.29627011262
438,-363932.6994780472,131243.02627568782
439,-364016.4845211813,131044.70715030076
440,-364100.13477432745,130846.33896232129
441,-364183.6501956556,130647.92178010244
442,-364267.0307435354,130449.45567203072
443,-364350.27637631964,130250.94070660869
444,-364433.3870523281,130052.37695217301
445,-364516.36273003,129853.76447732601
446,-364599.2033678947,129655.10335050392
447,-364681.9089243249,129456.3936402593
448,-364764.4793579064,129257.63541516129
449,-364846.9146271913,129058.82874384547
450,-364929.2146907159,128859.97369483122
451,-365011.3795071483,128661.07033688703
452,-365093.40903514123,128462.1187385987
453,-365175.30323339626,128263.11896868492
454,-365257.0620606321,128064.07109589758
455,-365338.6854756175,127864.97518898865
456,-365420.17343713716,127665.83131671004
457,-365501.52590409276,127466.63954792995
458,-365582.7428352694,127267.39995145018
459,-365663.8241896518,127068.11259608914
460,-365744.7699261578,126868.77755083135
461,-365825.58000373875,126669.39488457823
462,-365906.25438142923,126469.9646662479
463,-365986.7930182802,126270.48696480831
464,-366067.1958733927,126070.96184927721
465,-366147.46290585084,125871.38938868894
466,-366227.59407483885,125671.76965206134
467,-366307.5893395739,125472.10270852843
468,-366387.4486592235,125272.3886272077
469,-366467.1719931212,125072.62747718339
